SampleID	WellPositionFromJingxin	NewLayoutWellPosition	BioRep	Plate	Treatment	R1	R2
NewMolecule.A01-1	A01	H01	1	1	A01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H1_S8_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H1_S8_R2_001.fastq.gz
NewMolecule.A02-1	A02	G01	1	1	A02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G1_S7_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G1_S7_R2_001.fastq.gz
NewMolecule.A03-1	A03	F01	1	1	A03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F1_S6_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F1_S6_R2_001.fastq.gz
NewMolecule.A04-1	A04	E01	1	1	A04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E1_S5_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E1_S5_R2_001.fastq.gz
NewMolecule.A05-1	A05	D01	1	1	A05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D1_S4_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D1_S4_R2_001.fastq.gz
NewMolecule.A06-1	A06	C01	1	1	A06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C1_S3_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C1_S3_R2_001.fastq.gz
NewMolecule.A07-1	A07	B01	1	1	A07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B1_S2_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B1_S2_R2_001.fastq.gz
NewMolecule.A08-1	A08	A01	1	1	A08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A1_S1_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A1_S1_R2_001.fastq.gz
NewMolecule.A09-1	A09	H05	1	1	A09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H5_S40_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H5_S40_R2_001.fastq.gz
NewMolecule.A10-1	A10	G05	1	1	A10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G5_S39_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G5_S39_R2_001.fastq.gz
NewMolecule.A11-1	A11	F05	1	1	A11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F5_S38_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F5_S38_R2_001.fastq.gz
NewMolecule.A12-1	A12	E05	1	1	A12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E5_S37_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E5_S37_R2_001.fastq.gz
NewMolecule.B01-1	B01	H02	1	1	B01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H2_S16_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H2_S16_R2_001.fastq.gz
NewMolecule.B02-1	B02	G02	1	1	B02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G2_S15_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G2_S15_R2_001.fastq.gz
NewMolecule.B03-1	B03	F02	1	1	B03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F2_S14_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F2_S14_R2_001.fastq.gz
NewMolecule.B04-1	B04	E02	1	1	B04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E2_S13_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E2_S13_R2_001.fastq.gz
NewMolecule.B05-1	B05	D02	1	1	B05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D2_S12_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D2_S12_R2_001.fastq.gz
NewMolecule.B06-1	B06	C02	1	1	B06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C2_S11_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C2_S11_R2_001.fastq.gz
NewMolecule.B07-1	B07	B02	1	1	B07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B2_S10_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B2_S10_R2_001.fastq.gz
NewMolecule.B08-1	B08	A02	1	1	B08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A2_S9_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A2_S9_R2_001.fastq.gz
NewMolecule.B09-1	B09	D05	1	1	B09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D5_S36_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D5_S36_R2_001.fastq.gz
NewMolecule.B10-1	B10	C05	1	1	B10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C5_S35_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C5_S35_R2_001.fastq.gz
NewMolecule.B11-1	B11	B05	1	1	B11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B5_S34_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B5_S34_R2_001.fastq.gz
NewMolecule.B12-1	B12	A05	1	1	B12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A5_S33_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A5_S33_R2_001.fastq.gz
NewMolecule.C01-1	C01	H03	1	1	C01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H3_S24_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H3_S24_R2_001.fastq.gz
NewMolecule.C02-1	C02	G03	1	1	C02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G3_S23_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G3_S23_R2_001.fastq.gz
NewMolecule.C03-1	C03	F03	1	1	C03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F3_S22_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F3_S22_R2_001.fastq.gz
NewMolecule.C04-1	C04	E03	1	1	C04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E3_S21_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E3_S21_R2_001.fastq.gz
NewMolecule.C05-1	C05	D03	1	1	C05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D3_S20_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D3_S20_R2_001.fastq.gz
NewMolecule.C06-1	C06	C03	1	1	C06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C3_S19_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C3_S19_R2_001.fastq.gz
NewMolecule.C07-1	C07	B03	1	1	C07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B3_S18_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B3_S18_R2_001.fastq.gz
NewMolecule.C08-1	C08	A03	1	1	C08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A3_S17_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A3_S17_R2_001.fastq.gz
NewMolecule.C09-1	C09	H06	1	1	C09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H6_S48_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H6_S48_R2_001.fastq.gz
NewMolecule.C10-1	C10	G06	1	1	C10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G6_S47_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G6_S47_R2_001.fastq.gz
NewMolecule.C11-1	C11	F06	1	1	C11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F6_S46_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F6_S46_R2_001.fastq.gz
NewMolecule.C12-1	C12	E06	1	1	C12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E6_S45_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E6_S45_R2_001.fastq.gz
NewMolecule.D01-1	D01	H04	1	1	D01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H4_S32_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H4_S32_R2_001.fastq.gz
NewMolecule.D02-1	D02	G04	1	1	D02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G4_S31_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G4_S31_R2_001.fastq.gz
NewMolecule.D03-1	D03	F04	1	1	D03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F4_S30_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F4_S30_R2_001.fastq.gz
NewMolecule.D04-1	D04	E04	1	1	D04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E4_S29_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E4_S29_R2_001.fastq.gz
NewMolecule.D05-1	D05	D04	1	1	D05	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D4_S28_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D4_S28_R2_001.fastq.gz
NewMolecule.D06-1	D06	C04	1	1	D06	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C4_S27_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C4_S27_R2_001.fastq.gz
NewMolecule.D07-1	D07	B04	1	1	D07	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B4_S26_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B4_S26_R2_001.fastq.gz
NewMolecule.D08-1	D08	A04	1	1	D08	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A4_S25_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A4_S25_R2_001.fastq.gz
NewMolecule.D09-1	D09	D06	1	1	D09	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D6_S44_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D6_S44_R2_001.fastq.gz
NewMolecule.D10-1	D10	C06	1	1	D10	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C6_S43_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C6_S43_R2_001.fastq.gz
NewMolecule.D11-1	D11	B06	1	1	D11	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B6_S42_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-B6_S42_R2_001.fastq.gz
NewMolecule.D12-1	D12	A06	1	1	D12	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A6_S41_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-A6_S41_R2_001.fastq.gz
NewMolecule.E01-1	E01	H07	1	1	E01	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H7_S55_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-H7_S55_R2_001.fastq.gz
NewMolecule.E02-1	E02	G07	1	1	E02	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G7_S54_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-G7_S54_R2_001.fastq.gz
NewMolecule.E03-1	E03	F07	1	1	E03	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F7_S53_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-F7_S53_R2_001.fastq.gz
NewMolecule.E04-1	E04	E07	1	1	E04	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E7_S52_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-E7_S52_R2_001.fastq.gz
NewMolecule.E05-1	E05	D07	1	1	DMSO	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D7_S51_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-D7_S51_R2_001.fastq.gz
NewMolecule.E06-2	E06	C07	2	1	DMSO	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C7_S50_R1_001.fastq.gz	/cds/yangili1/bjf79/Fastq/20230216_52SmallMoleculesRNAseq_NovaSeq/YLi-GM-S4-1-C7_S50_R2_001.fastq.gz
